[2014-07-22 09:59:56,601][INFO ][node                     ] [Sligguth] stopping ...
[2014-07-22 09:59:56,735][INFO ][node                     ] [Sligguth] stopped
[2014-07-22 09:59:56,736][INFO ][node                     ] [Sligguth] closing ...
[2014-07-22 09:59:56,766][INFO ][node                     ] [Sligguth] closed
[2014-07-22 09:59:58,312][INFO ][node                     ] [Glorian] version[0.90.11], pid[5026], build[11da1ba/2014-02-03T15:27:39Z]
[2014-07-22 09:59:58,312][INFO ][node                     ] [Glorian] initializing ...
[2014-07-22 09:59:58,455][INFO ][plugins                  ] [Glorian] loaded [river-twitter, river-fs], sites []
[2014-07-22 10:00:01,886][INFO ][node                     ] [Glorian] initialized
[2014-07-22 10:00:01,886][INFO ][node                     ] [Glorian] starting ...
[2014-07-22 10:00:02,041][INFO ][transport                ] [Glorian] bound_address {inet[/0:0:0:0:0:0:0:0%0:9300]}, publish_address {inet[/10.0.0.3:9300]}
[2014-07-22 10:00:05,143][INFO ][cluster.service          ] [Glorian] new_master [Glorian][t5U0WNc1TV2-Wc4y4OsJiw][inet[/10.0.0.3:9300]], reason: zen-disco-join (elected_as_master)
[2014-07-22 10:00:05,188][INFO ][discovery                ] [Glorian] elasticsearch/t5U0WNc1TV2-Wc4y4OsJiw
[2014-07-22 10:00:05,233][INFO ][http                     ] [Glorian] bound_address {inet[/0:0:0:0:0:0:0:0%0:9200]}, publish_address {inet[/10.0.0.3:9200]}
[2014-07-22 10:00:05,234][INFO ][node                     ] [Glorian] started
[2014-07-22 10:00:06,158][INFO ][gateway                  ] [Glorian] recovered [3] indices into cluster_state
[2014-07-22 21:48:39,344][INFO ][node                     ] [Shang-Chi] version[0.90.11], pid[7114], build[11da1ba/2014-02-03T15:27:39Z]
[2014-07-22 21:48:39,346][INFO ][node                     ] [Shang-Chi] initializing ...
[2014-07-22 21:48:39,467][INFO ][plugins                  ] [Shang-Chi] loaded [river-twitter, river-fs], sites []
[2014-07-22 21:48:42,564][INFO ][node                     ] [Shang-Chi] initialized
[2014-07-22 21:48:42,564][INFO ][node                     ] [Shang-Chi] starting ...
[2014-07-22 21:48:42,701][INFO ][transport                ] [Shang-Chi] bound_address {inet[/0:0:0:0:0:0:0:0%0:9300]}, publish_address {inet[/10.0.0.3:9300]}
[2014-07-22 21:48:45,793][INFO ][cluster.service          ] [Shang-Chi] new_master [Shang-Chi][5pBJVgYVSBSG5bjxiGQ4lg][inet[/10.0.0.3:9300]], reason: zen-disco-join (elected_as_master)
[2014-07-22 21:48:45,849][INFO ][discovery                ] [Shang-Chi] elasticsearch/5pBJVgYVSBSG5bjxiGQ4lg
[2014-07-22 21:48:45,893][INFO ][http                     ] [Shang-Chi] bound_address {inet[/0:0:0:0:0:0:0:0%0:9200]}, publish_address {inet[/10.0.0.3:9200]}
[2014-07-22 21:48:45,894][INFO ][node                     ] [Shang-Chi] started
[2014-07-22 21:48:46,898][INFO ][gateway                  ] [Shang-Chi] recovered [3] indices into cluster_state
[2014-07-22 21:54:27,886][INFO ][node                     ] [Shang-Chi] stopping ...
[2014-07-22 21:54:27,968][INFO ][node                     ] [Shang-Chi] stopped
[2014-07-22 21:54:27,970][INFO ][node                     ] [Shang-Chi] closing ...
[2014-07-22 21:54:27,982][INFO ][node                     ] [Shang-Chi] closed
